epsilon,n1d_max,nstep,c,nlevel,energy
0.1,10,5,-0.10338709826982972,0,-0.7859577654097499
0.1,10,5,-0.10338709826982972,1,4.175603583250837
0.1,10,5,-0.10338709826982972,2,8.29726721341477
0.1,10,5,-0.10338709826982972,3,8.297267213414848
0.1,10,5,-0.10338709826982972,4,8.297267213414905
0.1,10,5,-0.10338709826982972,5,8.297267213414951
0.1,10,5,-0.10338709826982972,6,8.297267213415118
0.1,10,5,-0.10338709826982972,7,12.264782285633384
0.1,10,5,-0.10338709826982972,8,16.594534426829608
0.1,10,5,-0.10338709826982972,9,16.59453442682969
0.1,10,5,-0.10338709826982972,10,16.59453442682978
0.1,10,5,-0.10338709826982972,11,16.59453442682983
0.1,10,5,-0.10338709826982972,12,16.594534426829846
0.1,10,5,-0.10338709826982972,13,16.59453442682991
0.1,10,5,-0.10338709826982972,14,16.59453442682992
0.1,10,5,-0.10338709826982972,15,16.59453442683
0.1,10,5,-0.10338709826982972,16,16.594534426830077
0.1,10,5,-0.10338709826982972,17,16.594534426830105
0.1,10,5,-0.10338709826982972,18,16.594534426830112
0.1,10,5,-0.10338709826982972,19,22.181094166695512
0.1,10,5,-0.10338709826982972,20,24.891801640244424
0.1,10,5,-0.10338709826982972,21,24.891801640244665
0.1,10,5,-0.10338709826982972,22,24.891801640244676
0.1,10,5,-0.10338709826982972,23,24.891801640245014
0.1,10,5,-0.10338709826982972,24,24.891801640245017
0.1,10,5,-0.10338709826982972,25,24.891801640245063
0.1,10,5,-0.10338709826982972,26,24.89180164024518
0.1,10,5,-0.10338709826982972,27,29.99724932277926
0.1,10,5,-0.10338709826982972,28,33.17691905474834
0.1,10,5,-0.10338709826982972,29,33.176919054748566
0.1,10,5,-0.10338709826982972,30,33.17691905474866
0.1,10,5,-0.10338709826982972,31,33.176919054748694
0.1,10,5,-0.10338709826982972,32,33.17691905474881
0.1,10,5,-0.10338709826982972,33,35.72284920382974
0.1,10,5,-0.10338709826982972,34,41.47418626816348
0.1,10,5,-0.10338709826982972,35,41.474186268163514
0.1,10,5,-0.10338709826982972,36,41.47418626816357
0.1,10,5,-0.10338709826982972,37,41.47418626816361
0.1,10,5,-0.10338709826982972,38,41.47418626816362
0.1,10,5,-0.10338709826982972,39,41.47418626816367
0.1,10,5,-0.10338709826982972,40,41.47418626816373
0.1,10,5,-0.10338709826982972,41,41.474186268163734
0.1,10,5,-0.10338709826982972,42,41.47418626816375
0.1,10,5,-0.10338709826982972,43,41.474186268163756
0.1,10,5,-0.10338709826982972,44,41.47418626816379
0.1,10,5,-0.10338709826982972,45,41.47418626816379
0.1,10,5,-0.10338709826982972,46,41.47418626816382
0.1,10,5,-0.10338709826982972,47,41.4741862681639
0.1,10,5,-0.10338709826982972,48,41.474186268163905
0.1,10,5,-0.10338709826982972,49,41.474186268163905
0.1,10,5,-0.10338709826982972,50,41.47418626816394
0.1,10,5,-0.10338709826982972,51,41.474186268163955
0.1,10,5,-0.10338709826982972,52,41.474186268163955
0.1,10,5,-0.10338709826982972,53,41.47418626816401
0.1,10,5,-0.10338709826982972,54,41.47418626816403
0.1,10,5,-0.10338709826982972,55,41.4741862681641
0.1,10,5,-0.10338709826982972,56,41.47418626816462
0.1,10,5,-0.10338709826982972,57,46.32870274941834
0.1,10,5,-0.10338709826982972,58,49.77145348157791
0.1,10,5,-0.10338709826982972,59,49.77145348157838
0.1,10,5,-0.10338709826982972,0,-0.7859577654097499
0.1,10,5,-0.10338709826982972,1,4.175603583250837
0.1,10,5,-0.10338709826982972,2,8.29726721341477
0.1,10,5,-0.10338709826982972,3,8.297267213414848
0.1,10,5,-0.10338709826982972,4,8.297267213414905
0.1,10,5,-0.10338709826982972,5,8.297267213414951
0.1,10,5,-0.10338709826982972,6,8.297267213415118
0.1,10,5,-0.10338709826982972,7,12.264782285633384
0.1,10,5,-0.10338709826982972,8,16.594534426829608
0.1,10,5,-0.10338709826982972,9,16.59453442682969
0.1,10,5,-0.10338709826982972,10,16.59453442682978
0.1,10,5,-0.10338709826982972,11,16.59453442682983
0.1,10,5,-0.10338709826982972,12,16.594534426829846
0.1,10,5,-0.10338709826982972,13,16.59453442682991
0.1,10,5,-0.10338709826982972,14,16.59453442682992
0.1,10,5,-0.10338709826982972,15,16.59453442683
0.1,10,5,-0.10338709826982972,16,16.594534426830077
0.1,10,5,-0.10338709826982972,17,16.594534426830105
0.1,10,5,-0.10338709826982972,18,16.594534426830112
